;marca;preco;ref
608;Placa de Vídeo Zotac Gaming NVIDIA GeForce RTX 2060, 6GB, GDDR6 - ZT-T20600H-10M;R$ 2.199,99;https://www.kabum.com.br/produto/110397/placa-de-video-zotac-gaming-nvidia-geforce-rtx-2060-6gb-gddr6-zt-t20600h-10m
609;Placa de Vídeo Gigabyte GeForce RTX 3060 VISION OC 12G, 12GB GDDR6, RGB Fusion, Ray Tracing, Metal Back Plate - GV-N3060VISION OC-12GD;R$ 3.199,99;https://www.kabum.com.br/produto/150631/placa-de-video-gigabyte-geforce-rtx-3060-vision-oc-12g-12gb-gddr6-rgb-fusion-ray-tracing-metal-back-plate-gv-n3060vision-oc-12gd
610;Placa de Vídeo GALAX GeForce RTX 3060 (1-Click OC) LHR, 15 Gbps, 12GB GDDR6, Ray Tracing, DLSS - 36NOL7MD1VOC;R$ 2.659,99;https://www.kabum.com.br/produto/150657/placa-de-video-galax-geforce-rtx-3060-1-click-oc-lhr-15-gbps-12gb-gddr6-ray-tracing-dlss-36nol7md1voc
611;Placa de Vídeo Gigabyte GTX 1660 Super OC NVIDIA Geforce 6G, GDDR6 - GV-N166SOC-6GD;R$ 1.849,99;https://www.kabum.com.br/produto/105132/placa-de-video-gigabyte-gtx-1660-super-oc-nvidia-geforce-6g-gddr6-gv-n166soc-6gd
612;Placa de Vídeo Asus NVIDIA GeForce TUF GTX 1660 Super O6G Gaming OC, 6GB GDDR6, IP5X, Preto;R$ 1.839,99;https://www.kabum.com.br/produto/211056/placa-de-video-asus-nvidia-geforce-tuf-gtx-1660-super-o6g-gaming-oc-6gb-gddr6-ip5x-preto
613;Placa de Vídeo Zotac NVIDIA GeForce RTX 3060 Ti Twin Edge LHR, 8GB, 14.0 Gbps, GDDR6, DLSS, Ray Tracing - ZT-A30610E-10MLHR;R$ 3.399,99;https://www.kabum.com.br/produto/166104/placa-de-video-zotac-nvidia-geforce-rtx-3060-ti-twin-edge-lhr-8gb-14-0-gbps-gddr6-dlss-ray-tracing-zt-a30610e-10mlhr
614;Placa de Vídeo VGA NVIDIA MSI GEFORCE GT 210 1GB DDR3 N210-MD1G/D3;R$ 189,99;https://www.kabum.com.br/produto/94232/placa-de-video-vga-nvidia-msi-geforce-gt-210-1gb-ddr3-n210-md1g-d3
615;Placa de Vídeo XFX Speedster QICK319 AMD Radeon RX 6700XT Black Gaming, 16Gbps, 12GB GDDR6, AMD RDNA 2 Architecture - RX-67XTYPBDP;R$ 3.299,99;https://www.kabum.com.br/produto/165713/placa-de-video-xfx-speedster-qick319-amd-radeon-rx-6700xt-black-gaming-16gbps-12gb-gddr6-amd-rdna-2-architecture-rx-67xtypbdp
616;Placa de Vídeo Duex AMD Radeon RX 550, 4GB, DDR5 - DXRX5504GB;R$ 729,99;https://www.kabum.com.br/produto/255155/placa-de-video-duex-amd-radeon-rx-550-4gb-ddr5-dxrx5504gb
617;Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3050 Gaming OC, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N3050GAMING OC-8GD;R$ 2.399,99;https://www.kabum.com.br/produto/320826/placa-de-video-gigabyte-nvidia-geforce-rtx-3050-gaming-oc-8gb-gddr6-rgb-lhr-dlss-ray-tracing-gv-n3050gaming-oc-8gd
618;Placa de Vídeo Asus NVIDIA GeForce ROG Strix RTX 3060 O12G V2 Gaming OC Edition, 12GB GDDR6, DLSS, Ray Tracing - 90YV0GC2-M0NA10;R$ 3.199,99;https://www.kabum.com.br/produto/193077/placa-de-video-asus-nvidia-geforce-rog-strix-rtx-3060-o12g-v2-gaming-oc-edition-12gb-gddr6-dlss-ray-tracing-90yv0gc2-m0na10
619;Placa De Vídeo Radeon Rx 550, 4Gb Gddr5 Rx550-4gd5 Snake;R$ 593,10;https://www.kabum.com.br/produto/306280/placa-de-video-radeon-rx-550-4gb-gddr5-rx550-4gd5-snake
620;Placa de Vídeo Zotac NVIDIA GeForce RTX 3070 Ti TRINITY LHR, 19 Gbps, 8GB GDDR6X, Ray Tracing, DLSS, RGB - ZT-A30710D-10P;R$ 5.899,99;https://www.kabum.com.br/produto/166105/placa-de-video-zotac-nvidia-geforce-rtx-3070-ti-trinity-lhr-19-gbps-8gb-gddr6x-ray-tracing-dlss-rgb-zt-a30710d-10p
621;Placa de Vídeo MSI NVIDIA GeForce RTX 3070 Gaming Z Trio 8G, 8GB GDDR6, LHR, RGB, DLSS, Ray Tracing - GeForce RTX 3070 GAMING Z TRIO 8G LHR;R$ 4.099,90;https://www.kabum.com.br/produto/356937/placa-de-video-msi-nvidia-geforce-rtx-3070-gaming-z-trio-8g-8gb-gddr6-lhr-rgb-dlss-ray-tracing-geforce-rtx-3070-gaming-z-trio-8g-lhr
622;Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Eagle 12G (rev. 2.0), RGB, 12GB GDDR6, LHR, DLSS, Ray Tracing - GV-N3060EAGLE-12GD;R$ 2.939,99;https://www.kabum.com.br/produto/347104/placa-de-video-gigabyte-nvidia-geforce-rtx-3060-eagle-12g-rev-2-0-rgb-12gb-gddr6-lhr-dlss-ray-tracing-gv-n3060eagle-12gd
623;Placa de Video Gigabyte GeForce RTX 3060 Gaming OC 12G LHR, 12 GB GDDR6, REV 2.0, Ray Tracing - GV-N3060GAMING OC-12GD;R$ 2.899,99;https://www.kabum.com.br/produto/180539/placa-de-video-gigabyte-geforce-rtx-3060-gaming-oc-12g-lhr-12-gb-gddr6-rev-2-0-ray-tracing-gv-n3060gaming-oc-12gd
624;Placa de Vídeo MSI NVIDIA GeForce RTX 2060 Ventus GP OC, 6GB GDDR6, Ray Tracing - GeForce RTX 2060 VENTUS GP OC;R$ 2.599,99;https://www.kabum.com.br/produto/357660/placa-de-video-msi-nvidia-geforce-rtx-2060-ventus-gp-oc-6gb-gddr6-ray-tracing-geforce-rtx-2060-ventus-gp-oc
625;Placa de Vídeo Sapphire AMD Radeon RX 550 Pulse 4G, GDDR5 - 11268-01-20G;R$ 659,99;https://www.kabum.com.br/produto/89279/placa-de-video-sapphire-amd-radeon-rx-550-pulse-4g-gddr5-11268-01-20g
